Tech,Geo class,Depth,Year,Cap cost 1000$/MW,Fixed O&M 1000$/MW-yr,Var O&M $/MWh
egs,5,allkm,2026,7339.856605,213.1105095,0
egs,6,allkm,2026,8597.89583,249.746814,0
egs,7,allkm,2026,9528.01356,248.9306985,0
egs,8,allkm,2026,11569.51916,308.8015603,0
egs,9,allkm,2026,14709.65436,401.3710685,0
egs,10,allkm,2026,17100.27417,455.6767308,0
egs,1,nearfield,2026,3650.335244,125.2787751,0
egs,2,nearfield,2026,3586.005099,127.9068443,0
egs,3,nearfield,2026,3994.168123,137.8865054,0
egs,4,nearfield,2026,4280.429525,153.0893741,0
egs,5,nearfield,2026,4060.513329,150.7169814,0
egs,6,nearfield,2026,5222.281165,193.7122792,0
egs,7,nearfield,2026,6499.037554,209.4067527,0
egs,8,nearfield,2026,7421.819336,238.8131799,0
egs,9,nearfield,2026,9630.280419,301.61341,0
egs,10,nearfield,2026,11110.84954,343.6151923,0
geohydro,1,allkm,2026,2378.431681,95.9605901,0
geohydro,2,allkm,2026,2930.322348,109.8335297,0
geohydro,3,allkm,2026,3218.2494,118.0448515,0
geohydro,4,allkm,2026,3597.506709,127.9599597,0
geohydro,5,allkm,2026,3532.898972,130.6098612,0
