r,2010.spring.hydED,2010.summer.hydED,2010.fall.hydED,2010.winter.hydED,2012.spring.hydED,2012.summer.hydED,2012.fall.hydED,2012.winter.hydED,2014.spring.hydED,2014.summer.hydED,2014.fall.hydED,2014.winter.hydED,2010.spring.hydEND,2010.summer.hydEND,2010.fall.hydEND,2010.winter.hydEND,2012.spring.hydEND,2012.summer.hydEND,2012.fall.hydEND,2012.winter.hydEND,2014.spring.hydEND,2014.summer.hydEND,2014.fall.hydEND,2014.winter.hydEND
p76,1.019797988,1.03748163,0.910994417,1.015241021,0.735755924,1.180674088,1.250979432,1.011720927,1.235365579,1.157840065,1.398191373,1.032981284,1.03658748,1.072042085,0.972116315,1.048519377,0.753258832,1.09192308,1.184750924,0.966775612,1.063453619,1.019255332,1.257768014,0.906533185
p77,1,1,1,1,1,1,1,1,1,1,1,1,1.061366198,1.071874426,0.959579757,1.059889305,0.705675591,1.134467294,1.222335721,0.980006271,1.158187846,1.079072239,1.325750654,0.97219825
p78,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p79,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p80,1,1,1,1,1,1,1,1,1,1,1,1,0.96419919,1.126854629,0.925585159,0.845545892,0.974835868,0.930235742,0.893309126,1.005703978,1.067402924,1.004616475,0.982685976,0.944538018
p81,1,1,1,1,1,1,1,1,1,1,1,1,0.666677411,0.839060713,0.700743255,0.594856678,0.550529741,0.561703597,0.634784866,0.557468748,0.333421892,0.294768291,0.275855756,0.27976718
p82,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p83,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p84,1,1,1,1,1,1,1,1,1,1,1,1,1.051976751,0.730566838,0.983990382,0.950626487,0.743847054,0.415128492,0.180579917,0.356912511,0.056420861,0.072398691,0.090571286,0.080928662
p85,1.101541964,1.181766677,1.052961193,1.580960563,0.930840086,0.970003032,1.021954137,0.792845924,0.886668541,1.034107687,1.011444801,0.663621035,1.116379967,1.327434458,1.180370167,1.369006895,1.049688722,0.423657059,0.344332695,0.866670439,0.999149034,1.213783098,1.13000854,0.845177001
p86,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p87,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p89,1.19426473,0.935875764,1.286503655,1.233181551,1.202878881,0.889248473,1.055149604,1.062454468,1.218429238,1.360085223,1.214887257,1.25816021,1.092615371,0.907167732,1.309160525,1.165590519,1.151803797,0.88162639,1.078050436,1.09039056,1.207306467,1.422580555,1.198029555,1.249731513
p90,1.302096176,0.82210257,1.756967281,1.367282656,0.910493638,0.59427972,0.817369257,0.858951357,1.241860275,1.452570863,1.135578076,1.302433659,1.343712204,0.842460053,1.982113196,1.360543157,0.831991927,0.512900744,0.676618965,0.813831117,1.31069473,1.648206552,1.128425424,1.346324122
p91,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p92,0.983988757,0.954300715,1.146081088,1.171215345,1.225857867,0.967923067,1.015873149,1.074410259,1.240925298,1.2586979,1.309737872,1.263835017,1.008292904,0.957235773,1.219361336,1.179124073,1.123727265,0.914307103,1.019448596,1.029433022,1.136429548,1.320346628,1.363504162,1.269108713
p93,1.239340219,0.967016292,1.100800331,1.057074184,0.838277903,0.949287222,1.21813652,1.082956292,1.178279334,1.35627046,1.229101158,1.173464529,1.190943542,0.96154581,1.043149268,1.16995284,1.081483139,1.000028502,0.756571705,0.928814833,0.952388601,1.411710486,1.357492406,1.23666741
p94,1.133297457,0.932036015,1.204809964,1.305469443,0.9157881,0.805659646,0.931425543,0.785057715,1.15807887,1.234030365,1.002536944,1.179447257,1.085462307,1.000298813,1.235778614,1.316619646,0.756974679,0.639139745,0.771783634,0.632143532,1.321626279,1.440947476,1.099031774,1.362619575
p95,0.91067585,0.729911203,0.8263362,1.40867192,0.964454229,0.810986616,1.090137193,0.659255765,1.485760957,1.869274912,1.429569536,1.463614233,0.990068614,0.809925173,0.860828954,1.546570177,0.94957359,0.742626038,0.990926203,0.636153902,1.298535988,1.653785195,1.260417512,1.286331273
p96,1.129832694,0.927517358,0.905341034,1.293325825,0.784509286,0.690295678,0.894778496,0.539779811,1.446891553,1.657042378,1.208974933,1.291967977,0.947781665,0.744130024,0.897467592,1.693579739,0.822020552,0.643123494,0.885736417,0.510537385,1.224348225,1.682807009,1.23624251,1.231892974
p97,1.010187063,0.875048706,1.260370477,1.22821254,1.080358813,0.805637833,0.925962464,0.889679326,1.337875581,1.351040601,1.241958266,1.349004207,1.05921528,0.955595036,1.145973586,1.18817006,0.954600821,0.759888697,0.946303375,0.836011183,1.27720215,1.549738998,1.277321426,1.269628916
p98,1.194828597,1.068815776,1.051962491,1.538570071,0.870201345,0.691399796,0.802570123,0.565677048,1.221715767,1.604772721,1.138953985,1.062102081,1.10524087,0.997697759,1.060469031,1.247859295,0.896940482,0.682133056,0.957183506,0.742944425,1.288868891,1.666820873,1.343437878,1.22861991
p99,1.219268771,1.135806491,1.044235759,1.649849352,0.9310139,0.748590136,0.89713693,0.582483859,1.224744294,1.435905437,1.109322691,1.043636668,0.889909696,0.948661209,0.92704094,1.23532863,0.959630628,0.809675849,0.791516187,0.644807071,1.142502969,1.130696209,0.860145425,0.982764517
p100,1,1,1,1,1,1,1,1,1,1,1,1,0.704563861,0.722398905,0.747313871,1.04108877,1.443329445,1.171867944,1.223757552,1.020888201,0.706759866,0.829885969,0.508184504,0.600359964
p101,0.863152472,0.795926588,0.961930456,1.06923445,0.961301157,0.730202221,1.025277885,0.833229531,1.116265539,1.26258638,1.050647173,1.133369299,1.255017623,1.115475058,1.368345138,1.498151488,0.409252972,0.309617932,0.437566655,0.353521633,1.38537716,1.513656392,1.292165949,1.359220496
p102,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p103,1.093456437,0.947638669,0.881746368,0.895454191,1.078392743,0.792947933,0.823848377,0.9272722,1.184196228,0.848185245,0.892703819,0.983599488,1.076997133,0.926129523,0.864858992,0.879188599,1.071432496,0.790149405,0.818256277,0.922584406,1.262309222,0.904984053,0.951610639,1.046190141
p104,1,1,1,1,1,1,1,1,1,1,1,1,1.11217404,1.029405649,0.917554518,0.919298923,1.110182581,0.817555544,0.84793296,0.939497277,1.135850624,0.821465805,0.860984936,0.945298532
p105,1,1,1,1,1,1,1,1,1,1,1,1,1.229189504,1.07604108,1.065966818,1.137421067,0.624168301,1.104389518,1.273542735,0.896137539,0.748575333,0.66111625,0.930095746,0.712108103
p106,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p107,1,1,1,1,1,1,1,1,1,1,1,1,1.19459615,1.037185718,1.014331522,1.13891198,0.760546304,1.03394632,1.199263709,0.919296919,0.937537891,0.800567461,1.106684006,0.881735579
p108,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p109,1,1,1,1,1,1,1,1,1,1,1,1,1.205836484,0.91848115,1.021901866,1.18114919,1.06469974,0.979480288,1.067018751,1.111733797,1.063776451,1.346179294,1.284251619,1.309667068
p110,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p111,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p112,1,1,1,1,1,1,1,1,1,1,1,1,1.010146126,1.030443485,0.922863948,1.073829857,0.587950355,0.909670629,0.987604356,0.881592157,1.249128653,1.118979668,1.287142109,0.844096087
p113,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p114,1,1,1,1,1,1,1,1,1,1,1,1,0.919981823,0.962000763,0.845679035,1.004567606,0.891140166,1.169138662,1.328534642,1.201714754,1.549372444,1.425785146,1.63472017,1.047982598
p115,1,1,1,1,1,1,1,1,1,1,1,1,0.9884437,1.028277354,1.130629165,1.043575009,1.130017646,0.870529838,1.49290345,1.028452649,0.970034527,1.117442418,0.700930235,0.904699893
p116,1,1,1,1,1,1,1,1,1,1,1,1,1.101261613,1.076545806,0.865748171,1.033392269,1.005407884,0.730714666,1.123089566,1.028834434,1.017118903,1.095101975,1.160078317,1.064081032
p117,1,1,1,1,1,1,1,1,1,1,1,1,1.086256872,1.143163064,1.095625535,1.043118651,1.097519244,0.735586545,1.030955207,1.063172258,0.923771248,1.178066517,1.192162246,0.936668519
