wst,r,t,Value
fsu,p107,2020,1.039651897259016
fsu,p107,2022,1.074222029234469
fsu,p107,2024,1.0458597869957171
fsu,p107,2026,1.0021207001586083
fsu,p107,2028,1.0113716550472365
fsu,p107,2030,1.0298731156459144
fsu,p107,2032,1.061534975202181
fsu,p107,2034,1.0778780977481823
fsu,p107,2036,1.0793730867229394
fsu,p107,2038,1.0835495594126052
fsu,p107,2040,1.0957274677747713
fsu,p107,2042,1.074116731689885
fsu,p107,2044,1.1037940704461626
fsu,p107,2046,1.1473796668384335
fsu,p107,2048,1.0879621488069886
fsu,p107,2050,1.114086109783169
fsu,p108,2010,1.0
fsu,p108,2012,1.0258196990114083
fsu,p108,2014,1.0220983097548455
fsu,p108,2016,1.0393273636563944
fsu,p108,2018,1.0301508689941676
fsu,p108,2020,1.0233205152117728
fsu,p108,2022,1.0549035418202917
fsu,p108,2024,1.0316210228200104
fsu,p108,2026,0.9928651627434494
fsu,p108,2028,1.0017232029833023
fsu,p108,2030,1.020285238695854
fsu,p108,2032,1.0533938359049169
fsu,p108,2034,1.073497671172556
fsu,p108,2036,1.0735167057109798
fsu,p108,2038,1.076008100686244
fsu,p108,2040,1.0900601690037215
fsu,p108,2042,1.0692666905396342
fsu,p108,2044,1.094168171752855
fsu,p108,2046,1.1322620516944686
fsu,p108,2048,1.0767291333241318
fsu,p108,2050,1.1091341170279787
fsu,p109,2010,1.0
fsu,p109,2012,1.046719824513818
fsu,p109,2014,1.0432697982024473
fsu,p109,2016,1.0413279156432818
fsu,p109,2018,1.0332225560649424
fsu,p109,2020,1.0298572207400032
fsu,p109,2022,1.0548583979840804
fsu,p109,2024,1.0249640049345057
fsu,p109,2026,0.9896698827399836
fsu,p109,2028,0.9847150862857494
fsu,p109,2030,0.994540723796486
fsu,p109,2032,1.0223693322517091
fsu,p109,2034,1.0432433400447685
fsu,p109,2036,1.0538358177307643
fsu,p109,2038,1.0514961185630172
fsu,p109,2040,1.0570664138724373
fsu,p109,2042,1.0340997319715093
fsu,p109,2044,1.052467042110618
fsu,p109,2046,1.0866850579817795
fsu,p109,2048,1.0445140096939711
fsu,p109,2050,1.075155075235782
fsu,p110,2010,1.0
fsu,p110,2012,0.9721969301940716
fsu,p110,2014,0.9610042383482486
